:)|&#x1F60A;
;)|&#x1F609;
:}|&#x1F48B;
:(|&#x1F61E;
:/|&#x1F615;
:#|&#x1F620;
:*|&#x1F617;
:+|&#x1F44D;
:-|&#x1F44E;
:3|&#x1F60D;
:5|&#x1F44A;
:8|&#x1F60E;
:a|&#x1F64F;
:b|&#x1F94A;
:c|&#x1F622;
:d|&#x1F923;
:g|&#x1F603;
:h|&#x1F497;
:H|&#x1F917;
:L|&#x1F4AA;
:o|&#x1F632;
:p|&#x1F61B;
:v|&#x1F620;
:V|&#x1F47F;
:x|&#x1F929;
:z|&#x1F634;
